publisher,count,category
eastasiasoft,253,Ports Switch/Console de qualité
ratalaika games,230,Ports Switch/Console de qualité
sony interactive entertainment,92,AAA / Studios majeurs
kemco,65,Spécialisés / Niche reconnus
bandai namco entertainment,58,AAA / Studios majeurs
nacon,56,AA / Mid-tier (qualité reconnue)
microids,48,AA / Mid-tier (qualité reconnue)
atari,42,Spécialisés / Niche reconnus
square enix,33,AAA / Studios majeurs
nis,31,AA / Mid-tier (qualité reconnue)
nis,31,Spécialisés / Niche reconnus
pqube,30,AA / Mid-tier (qualité reconnue)
sega,30,AAA / Studios majeurs
electronic arts,29,AAA / Studios majeurs
team 17 digital,28,AA / Mid-tier (qualité reconnue)
tinybuild,27,AA / Mid-tier (qualité reconnue)
devolver digital,25,AA / Mid-tier (qualité reconnue)
devolver digital,25,Indie reconnus (curation qualité)
benoit varasse trading as pix arts,25,Ports Switch/Console de qualité
annapurna interactive,24,AA / Mid-tier (qualité reconnue)
annapurna interactive,24,Indie reconnus (curation qualité)
red art games,23,Ports Switch/Console de qualité
thq nordic,21,AA / Mid-tier (qualité reconnue)
focus entertainment,20,AA / Mid-tier (qualité reconnue)
ubisoft,20,AAA / Studios majeurs
qubyte interactive,19,Ports Switch/Console de qualité
505 games,18,AA / Mid-tier (qualité reconnue)
konami,18,AAA / Studios majeurs
playism,18,Indie reconnus (curation qualité)
thunderful publishing,17,Indie reconnus (curation qualité)
take-two interactive,17,AAA / Studios majeurs
soedesco publishing,17,Spécialisés / Niche reconnus
milestone,17,Spécialisés / Niche reconnus
daedalic entertainment,17,Indie reconnus (curation qualité)
wales interactive,16,Indie reconnus (curation qualité)
disney interactive,16,AAA / Studios majeurs
deep silver,15,AA / Mid-tier (qualité reconnue)
koei tecmo,15,AAA / Studios majeurs
headup games,15,Indie reconnus (curation qualité)
koei tecmo,15,Spécialisés / Niche reconnus
wayforward technologies,14,Spécialisés / Niche reconnus
humble games,14,Indie reconnus (curation qualité)
humble games,14,AA / Mid-tier (qualité reconnue)
akupara games,13,Indie reconnus (curation qualité)
dear villagers,13,Indie reconnus (curation qualité)
bethesda,12,AAA / Studios majeurs
raw fury,12,Indie reconnus (curation qualité)
hamster,11,Spécialisés / Niche reconnus
handy games,11,Indie reconnus (curation qualité)
untold tales,11,Indie reconnus (curation qualité)
activision,10,AAA / Studios majeurs
warner bros. interactive,8,AAA / Studios majeurs
arc system works,4,Spécialisés / Niche reconnus
aksys games localization,3,AA / Mid-tier (qualité reconnue)
capcom,2,AAA / Studios majeurs
xseed games,2,AA / Mid-tier (qualité reconnue)
warner bros interactive entertainment,1,AAA / Studios majeurs
take-two interactive software,1,AAA / Studios majeurs
sega of america,1,AAA / Studios majeurs
